"Year","Month","Prepaid Cards on ATMs","Charge Cards on ATMs","Credit Cards on ATMs","Debit Cards on ATMs","POS Machines (Debit,Credit,Prepaid, Charge Cards)","Total"
"2013","September","4834","19","90569","8021780","1276210","8117202"
"2013","August","4910","17","89053","9120164","1321661","9214144"
"2013","July","5148","14","90453","7594828","1274298","7690443"
"2013","June","5155","19","83439","7787114","1216953","7875727"
"2013","May","7745","25","84616","9068163","1238402","9160549"
"2013","April","6684","25","74171","8201479","1299686","8282359"
"2013","March","7307","17","62994","4813316","1204610","4883634"
"2013","February","6358","97","79133","4919954","1481426","5005542"
"2013","January","6647","23","86374","4794341","1540228","4887385"
"2012","December","7609","12","77431","28082686","1500159","28167738"
"2012","November","7138","18","80149","24905734","1327579","24993039"
"2012","October","7793","37","84109","22227771","1272815","22319710"
"2012","September","10553","19","78309","20278314","1342420","20367195"
"2012","August","7839","19","79695","20270152","1168780","20357705"
"2012","July","7797","12","80715","20253681","878657","20342205"
"2012","June","7069","17","74867","17473064","747717","17555017"
"2012","May","6246","23","79616","15877494","672249","15963379"
"2012","April","6338","18","77518","13051244","655840","13135118"
"2012","March","6597","35","76455","13005846","600267","13088933"
"2012","February","6069","20","72910","9825887","550231","9904886"
"2012","January","6517","43","78925","11010609","586073","11096094"
"2011","December","7664","35","67977","11236340","646055","11312016"
"2011","November","6505","27","69881","8714272","573213","8790685"
"2011","October","7156","31","69646","8905979","563946","8982812"
"2011","September","6638","44","65619","7534751","634125","7607052"
"2011","August","6267","34","65244","7732688","574166","7804233"
"2011","July","7021","21","57889","6926952","571628","6991883"
"2011","June","6910","37","58451","11723836","526401","11789234"
"2011","May","7589","36","61441","11850488","530530","11919554"
"2011","April","7071","55","53848","11697445","513283","11758419"
"2011","March","7748","58","54115","10114734","518490","10176655"
"2011","February","6905","48","51605","8902929","474119","8961487"
"2011","January","6481","37","57113","9404135","444195","9467766"
"2010","December","8697","38","56804","10068430","558505","10133969"
"2010","November","6827","51","56244","8098233","459430","8161355"
"2010","October","8193","57","55235","7107838","466523","7171323"
"2010","September","7229","59","54353","5663365","443633","5725006"
"2010","August","9586","144","60202","6442266","427920","6512198"
"2010","July","9939","147","58541","8773391","419043","8842018"
"2010","June","11242","73","61801","5187042","479303","5260158"
"2010","May","10355","53","59095","7240815","466463","7310318"
"2010","April","9829","52","62549","6843646","451366","6916076"
"2010","March","7236","58","54665","6647688.16","395891","6709647"
"2010","February","7754","45","51888","6867328","431833","6927015"
"2010","January","7954","66","58667","7241399","496450","7308086"
"2009","December","10578","123","59353","5814720","215087","5884774"
"2009","November","10336","92","63588","5838840","235561","6354970"
"2009","October","9893","123","61852","5878872","220598","6401390"
"2009","September","9283","119","61050","6212921","436684","6743647"
"2009","August","10716","122","66093","6004214","455536","6531908"
"2009","July","12542","119","69267","6741885","512701","7295404"
