"Year","Month","Credit (Efts) Volumes","Credit (Efts) Values (Kshs Billions)","Debit (Cheques) Volumes","Debit (Cheques) Values (Kshs Billions)"
"2014","June","799,764","37.878","1,615,496","202.054"
"2014","May","930,061","42.817","1,697,011","213.543"
"2014","April","820,749","39.067","1,554,181","205.350"
"2014","March","908,686","41.344","1,635,804","205.991"
"2014","February","852,518","37.494","1,599,534","195.917"
"2014","December","1,066,138","50.290","1,622,214","227.087"
"2014","November","819,015","38.766","1,503,520","200.512"
"2014","October","997,228","44.061","1,708,376","223.679"
"2014","January","772,253","36.325","1,602,193","204.330"
"2013","September","786,553","36.077","1,561,296","192.800"
"2013","August","834,053","38.101","1,484,851","184.986"
"2013","July","929,294","40.753","1,760,397","207.953"
"2013","June","754,447","32.916","1,471,958","175.141"
"2013","May","893,512","39.558","1,665,077","197.239"
"2013","April","818,315","36.116","1,519,275","191.323"
"2013","March","749,625","32.773","1,378,788","167.486"
"2013","February","735,678","33.669","1,524,254","176.727"
"2013","December","964,251","44.003","1,501,680","201.362"
"2013","November","874,233","37.030","1,535,188","193.938"
"2013","October","855,153","40.026","1,673,173","210.743"
"2013","January","731,815","32.756","1,584,743","189.553"
"2012","September","690,265","29.929","1,450,130","171.611"
"2012","August","744,841","33.796","1,521,410","179.788"
"2012","July","765,057","33.180","1,666,533","189.698"
"2012","June","757,720","30.090","1,499,067","172.956"
"2012","May","841,365","33.099","1,663,494","193.845"
"2012","April","694,789","29.289","1,383,226","171.953"
"2012","March","842,732","31.955","1,546,713","183.184"
"2012","February","771,052","29.181","1,547,756","174.173"
"2012","December","830,064","37.456","1,410,254","176.115"
"2012","November","905,727","33.690","1,554,229","183.415"
"2012","October","766,378","35.406","1,688,971","198.146"
"2012","January","651,223","26.679","1,525,497","174.963"
"2011","September","810,542","31.494","1,599,541","186.105"
"2011","August","781,333","30.384","1,513,426","177.079"
"2011","July","728,575","26.996","1,541,320","169.020"
"2011","June","817,257","28.102","1,496,077","166.656"
"2011","May","782,843","28.805","1,642,091","181.262"
"2011","April","661,782","25.000","1,342,346","147.000"
"2011","March","884,169","31.000","1,644,292","181.000"
"2011","February","787,600","27.000","1,508,085","157.000"
"2011","December","842,276","34.300","1,453,730","176.384"
"2011","November","973,416","30.209","1,528,866","184.321"
"2011","October","714,903","29.253","1,420,320","170.370"
"2011","January","753,271","24.000","1,508,767","155.000"
"2010","September","1,052,105","30.000","1,597,633","163.000"
"2010","August","930,451","27.794","1,425,437","148.091"
"2010","July","763,603","25.067","1,554,241","153.604"
"2010","June","756,470","22.346","1,422,419","137.294"
"2010","May","882,688","26.631","1,516,887","147.481"
"2010","April","890,953","26.963","1,389,165","144.008"
"2010","March","1,147,958","32.584","1,632,887","160.672"
"2010","February","854,677","24.481","1,463,380","138.491"
"2010","December","1,162,486","36.000","1,547,486","170.000"
"2010","November","1,067,756","29.261","1,546,016","165.839"
"2010","October","741,992","32.584","1,440,731","150.759"
"2010","January","677,331","21.394","1,327,852","131.416"
"2009","September","638,989","67.376","1,584,544","345.838"
"2009","August","625,728","67.079","1,473,178","307.501"
