1427507.569,,,,,,,
    (KSh million),,,,,,,
Year/Month/,Amount,Tenor,Type of,Amount,Amount,Amount,Amount
Quarter,Offered,(years),Treasury bond,allotted,rejected,redeemed,outstanding
April,,1, Zero coupon ,"4,272.70","2,034.68",,
,,2, Discounted fixed ,3603.95,,,
,,3, Discounted fixed ,2518.45,,,
,,2, Zero coupon ,,,2270.4,
,,,,,,,194154.07
May,,1, Zero coupon ,2400.25,334.37,,
,,3, Discounted fixed ,528.3,,,
,,4, Discounted fixed ,3624.9,,,
,,3, Discounted fixed ,,,7047.35,
,,5, Floating rate ,,,1077.16,
,,,,,,,192583.01
June,,1, Zero coupon ,2861.8,327.31,,
,,5, Discounted fixed ,1827.3,,,
,,1, Discounted fixed ,,,3914.3,
,,,,,,,193357.81
July,,3, Discounted fixed ,6890.6,297.87,,
,,4, Floating Rate  ,,,1992.65,
,,,,,,,198255.76
August,,2, Discounted fixed ,2207.8,598.47,,
,,,,,,,
,,,,,,,
,,,,,,,200463.56
September,,2, Discounted fixed ,5586.6,997.8,,
,,3, Discounted fixed ,,,4978.8,
,,1, Discounted fixed ,,,180.85,
,,,,,,,200890.51
October,,4, Discounted fixed ,"5,607.05","3,087.24",,
,,3, Special bond ,,,730.24,
,,1, Zero coupon ,,,1594.75,
,,,,,,,204172.56
November,,5, Discounted fixed ,"5,941.25","5,565.90",,
,,5, Floating rate ,,,1077.16,
,,1, Zero coupon ,,,1719.15,
,,3,Discounted fixed,,,337.2,206980.3
December,,6, Discounted fixed ,7407.25,365.49,,
,,3, Special bond ,,,866.16,
,,1, Zero coupon ,,,4096.55,
,,,,,,,209424.84
2006,,,,,,,
January,,1, Zero coupon ,,,5596.05,
,,2, Discounted fixed ,"5,782.35","5,194.39",,
,,3, Discounted fixed ,,,3595.85,
,,7, Discounted fixed ,"3,235.40","2,287.96",,
,,,,,,,209250.69
February,,1, Zero coupon ,,,5593.2,
,,2, Discounted  Fixed ,,,3737.9,
,,3, Discounted  Fixed ,"5,731.00","4,699.79",,
,,8, Discounted  Fixed ,"3,318.80","2,034.79",,
,,,,,,,208969.39
March,,1, Zero coupon ,,,2637.3,
,,2, Discounted fixed ,"5,652.45","4,257.69","5,111.80",
,,10, Discounted fixed ,"3,451.05","1,669.83",,
,,,,,,,210323.79
April,,1, Zero coupon ,,,4276.46,
,,4, Fixed ,3923.25,394.19,1803.05,
,,6, Floating rate ,,,745.75,
,,9, Discounted fixed ,3060.25,250,,
,,,,,,,210482.03
May,,1, Zero coupon ,,,2400.25,
,,2, Discounted fixed ,,,1935.41,
,,5, Discounted fixed ,"1,864.30","1,121.60",,
,,5, Floating rate ,,,1077.01,
,,10, Discounted fixed ,"5,028.10","1,227.00",,
,,,,,,,211961.76
June,,1, Zero coupon ,,,2861.79,
,,1, Special bond ,1000,,,
,,2, Special bond ,1000,,,
,,3, Special bond ,1244.01,,,
,,6, Discounted fixed ,6013.35,787.3,,
,,,,,,,218357.33
July,,1, Zero coupon ,"3,566.60","7,428.68",,
,,5, Discounted fixed ,"2,593.65","5,765.40",,
,,4, Discounted fixed ,,,2005.15,
,,3, Discounted fixed ,,,1955.85,
,,,,,,,
,,,,,,,220556.58
August,,3, Discounted fixed ,"3,186.85","2,595.12",,
,,12, Discounted fixed ,3900.95,749.53,,
,,2, Discounted fixed ,,,4116.55,
,,,,,,,
,,,,,,,
,,,,,,,223527.83
September,,3, Discounted fixed ,3830.05, -   ,,
,,11, Discounted fixed ,4031.4,502.06,,
,,5, Fixed ,,,1008.25,
,,2, Fixed ,,,430.7,
,,,,,,,
,,,,,,,229950.33
October,,2, Discounted fixed ,"4,112.65","2,399.76",,
,,6, Floating rate ,,,744.01,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,233318.97
November,,6, Discounted fixed ,5767.45,283.44,,
,,3, Discounted fixed ,,,3043.65,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,236042.77
December,,1, Zero coupon ,5161.4,6.96,,
,,7, Discounted fixed ,2317.95,785.23,,
,,4, Discounted fixed ,,,835.75,
,,3, Discounted fixed ,,,4698.35,
,,,,,,,237988.02
2007,,2,Discounted fixed,"3,287.10","2,442.80",,
January,,5,Discounted fixed,"2,811.00","1,923.92",,
,,,,,,,244086.12
February,,4,Discounted fixed,"3,383.65","1,478.44",,
,,8,Discounted fixed,2656.9,901.92,,
,,,,,,,250126.67
March,,2,Discounted fixed,"4,416.35","3,375.84",,
,,15,Discounted fixed,"3,654.60","2,725.55",,
,,5,Fixed,,,988.5,
,,4,Discounted fixed,,,2866.25,
,,2,Zero coupon,,,5750.05,
,,,,,,,248592.82
April,,6,Discounted fixed,"5,948.00","8,290.92",,
,,3,Discounted fixed,,,1400.55,
,,2,Discounted fixed,,,3603.95,
,,6,Floating rate,,,744,
,,,,,,,248792.29
May,,12,Discounted fixed,"4,864.60","11,459.31",,
,,,,,,,253656.89
June,,3,Special bond,4000,,,
,,6,Special bond,5000,,,
,,10,Special bond,5000,,,
,,15,Special bond,6000,,,
,,15,Discounted fixed,"7,236.95","6,580.74",,
,,5,Discounted fixed,,,3011.45,
,,4,Discounted fixed,,,4682.65,
,,1,Special bond,,,1000,272199.78
07-Jul,,7,Discounted fixed,"8,269.85","1,210.90",,
,,,Zero coupon,,,3566.6,
,,,Discounted fixed,,,3244.3,
,,,,,,,
,,,,,,,273658.73
August,,1,Zero coupon,"3,229.65","5,048.11",,
,,5,Discounted fixed,"4,575.55","3,114.82",,
,,,Discounted fixed,,,1955.4,
,,,Discounted fixed,,,2207.8,
,,,,,,,277300.73
