ISSUE OF TREASURY BILLS,,,,,,,
    (KSh million),,,,,,,
Year/Month,Total amount offered (Primary market),Tenure,Amount,Amount,Amount,Amount,
,,(days),allotted\1,rejected,redeemed,outstanding,
2017,,182,"12,996.65",,"28,180.30",,
January,74000,91,"19,028.85",,"20,703.75",,
,,365,"9,379.95",,"17,576.85",,
,,Repo,"1,445.00",,"2,000.00","619,529.60",
Feb,64000,182,"69,160.40",,"35,520.30",,
,,91,"7,382.50",,"16,075.85",,
,,365,"25,037.15",,"35,522.95",,
,,Repo, -   ,, -   ,"633,990.55",
March,76000,182,"22,446.95",,"29,600.60",,
,,91,"22,256.40",,"14,295.90",,
,,365,"56,403.40",,"51,039.30",,
,,Repo,"4,000.00",,"4,000.00","640,161.50",
April,80000,182, -   ,,"38,283.55",,
,,91,"34,490.45",,"13,371.50",,
,,365,"56,774.80",,"28,479.65",,
,,Repo, -   ,, -   ,"651,292.05",
May,116000,182,"64,868.50",,"38,718.15",,
,,91,"26,842.10",,"13,039.85",,
,,365,"59,953.50",,"42,728.85",,
,,Repo, -   ,, -   ,"708,469.30",
June,96000,182,"64,782.15",,"30,767.70",,
,,91,"30,835.10",,"22,256.40",,
,,365,"41,437.95",,"23,950.50",,
,,Repo,-555,,-555,"768,549.90",
July,120000,182,"37,667.55",,"12,996.65",,
,,91,"11,926.65",,"45,918.00",,
,,365,"25,341.55",,"19,465.15",,
,,Repo,"6,480.00",,"7,035.00","764,550.85",
Aug,96000,182,"40,237.10",,"69,160.40",,
,,91,"10,825.60",,"15,414.55",,
,,365,"38,499.80",,"24,062.70",,
,,Repo,"10,480.00",,"10,480.00","745,475.70",
Sep,96000,182,"47,313.30",,"22,446.95",,
,,91,"13,144.15",,"30,835.10",,
,,365,"39,428.40",,"43,437.00",,
,,Repo, -   ,, -   ,"748,642.50",
October,120000,182,"18,261.75",, -   ,,
,,91,"13,034.70",,"11,926.65",,
,,365,"25,604.45",,"33,960.80",,
,,Repo, -   ,, -   ,"759,655.95",
November,96000,182,"24,529.35",,"64,868.50",,
,,91,"17,073.00",,"10,825.60",,
,,365,"35,769.20",,"33,469.45",,
,,Repo,"12,748.00",,"12,748.00","727,863.95",
December,96000,182,"22,926.65",,"64,782.15",,
,,91,"15,905.40",,"13,144.15",,
,,365,"34,143.55",,"14,350.75",,
,,Repo,0,,0,"708,562.50",
2018,,,,,,,
January,120000,182,"48,738.65",,"37,667.55",,
,,91,"16,697.75",,"13,034.70",,
,,365,41950.7,,9379.95,,
,,Repo,"1,445.00",,"1,445.00",755867.4,
February,96000,182,"44,550.05",,"40,237.10",,
,,91,"17,067.00",,"17,073.00",,
,,365,"57,038.10",,"25,037.15",,
,,Repo,0,,0,791620.3,
March,96000,182,43114.75,,47313.3,,
,,91,14718,,15905.4,,
,,365,66153.95,,56403.4,,
,,Repo,4000,,4000,795984.9,
April,120000,182,45088.45,,18261.75,,
,,91,9710.4,,16697.75,,
,,365,62768.1,,65624.25,,
,,Repo,0,,0,812968.1,
May,96000,182,36554.1,,24529.35,,
,,91,19716.45,,17067,,
,,365,85471.95,,51104.05,,
,,Repo,0,,0,862010.2,
June,96000,Repo,40243.75,,22926.65,,
,,182,17428.35,,14718,,
,,91,61306.95,,41437.95,,
,,365,-555,,-555,901906.65,
July,120000,182,36169.6,,48738.65,,
,,91,13074.6,,9710.4,,
,,365,102143.65,,25341.55,,
,,Repo,6480,,6480,969503.9,
August,96000,182,22590.25,,44550.05,,
,,91,9415.65,,19716.45,,
,,365,47019.55,,38499.8,,
,,Repo,10480,,10480,945763.05,
September,96000,182,36211,,43114.75,,
,,91,27355.3,,17428.35,,
,,365,58007.8,,39428.4,,
,,Repo,0,,0,967365.65,
October,120000,182,19315.15,,45088.45,,
,,91,21857.4,,13074.6,,
,,365,50509.85,,25604.45,,
,,Repo,0,,0,974725.55,
November,96000,182,12643.15,,36554.1,,
,,91,15912.7,,9415.65,,
,,365,51313.25,,35769.2,,
,,Repo,12748,,12748,972855.7,
December,120000,182,14239.75,,46248.15,,
,,91,22309.7,,32490.35,,
,,365,30963.85,,39480.2,,
,,Repo,-1658,,-1658,922150.3,
2019,,182,40264.05,,30165.2,,
January,96000,91,18625.85,,16722.35,,
,,365,69736.05,,36614.05,,
,,Repo,890,,890,967274.65,
February,96000,182,38127.25,,22590.25,,
,,91,15942.9,,15912.7,,
,,365,68469.95,,57038.1,,
,,Repo,0,,0,994273.7,
March,96000,182,22748.15,,36211,,
,,91,9294.25,,21265.55,,
,,365,69699.7,,66153.95,,
,,Repo,4000,,4000,972385.3,
April,120000,182,41800.6,,19315.15,,
,,91,20616.95,,19670,,
,,365,93234.45,,62768.1,,
,,Repo,0,,0,1025174.05,
May,96000,182,11449.55,,12643.15,,
,,91,12624.8,,15942.9,,
,,365,52056.5,,85471.95,,
,,Repo,0,,0,987246.9,
June,96000,182,7580.9,,11543.4,,
,,91,6782.15,,9294.25,,
,,365,56404.65,,61306.95,,
,,Repo,0,,555,975315,
July,120000,182,30154,,42960.4,,
,,91,22497.2,,20616.95,,
,,365,112368.4,,102143.65,,
,,Repo,6480,,6480,974613.6,
August,96000,182,13808.85,,38127.25,,
,,91,19503.8,,12624.8,,
,,365,58799.75,,47019.55,,
,,Repo,10480,,10480,968954.4,
September,120000,182,10129,,28877.9,,
,,91,20879.7,,10988,,
,,365,58205.75,,68328.65,,
,,Repo,0,,0,949974.3,
October,96000,182,5929.1,,35670.85,,
,,91,12873.45,,18291.35,,
,,365,43254.45,,40189,,
,,Repo,0,,0,917880.1,
November,96000,182,12664.45,,11449.55,,
,,91,12683.75,,19503.8,,
,,365,56230.3,,51313.25,,
,,Repo,12748,,12748,917192,
December,120000,182,9089.05,,11228.55,,
,,91,9693.85,,20879.7,,
,,365,27097.8,,30963.85,,
,,Repo,-1658,,-1658,900000.6,
2020,,182,15341.85,,26506.35,,
January,96000,91,11766.65,,12873.45,,
,,365,82526.15,,69736.05,,
,,Repo,1445,,890,901074.4,
February,96000,182,38218.05,,13808.85,,
,,91,11670.85,,12683.75,,
,,365,82933.25,,68469.95,,
,,Repo,0,,0,938934,
March,120000,182,14658.45,,10129,,
,,91,9362.95,,9693.85,,
,,365,74668,,95557.85,,
,,Repo,4000,,2890,923352.7,
April,96000,182,11791.05,,5929.1,,
,,91,12984.45,,11766.65,,
,,365,48434.2,,67376.3,,
,,Repo,0,,0,911490.35,
May,96000,182,16897.6,,12664.45,,
,,91,20777.6,,11670.85,,
,,365,48233.35,,52056.5,,
,,Repo,-555,,0,920452.1,
June,120000,182,23601.65,,9089.05,,
,,91,17680,,9362.95,,
,,365,47902.9,,81868.15,,
,,Repo,-1665,,-1665,909316.5,
July,96000,182,29927.95,,15341.85,,
,,91,69573.4,,12984.45,,
,,365,79243.3,,86904.9,,
,,Repo,7035,,9255,970609.95,
August,120000,182,24606.85,,40989.5,,
,,91,32843.05,,23063.45,,
,,365,39522.25,,67296.45,,
,,Repo,10480,,10480,936232.7,
September,96000,182,13668.2,,11887,,
,,91,16838.7,,15394.15,,
,,365,24939.2,,49709.05,,
,,Repo,0,,0,914688.6,
October,96000,182,20339,,11791.05,,
,,91,24807.75,,69573.4,,
,,365,43418.3,,43254.45,,
,,Repo,0,,0,878634.75,
November,120000,182,29219.9,,18355.5,,
,,91,22818.4,,32843.05,,
,,365,65340,,60604.3,,
,,Repo,12748,,12748,884210.2,
December,96000,182,16505.3,,22143.75,,
,,91,18431.05,,16838.7,,
,,365,18229.4,,22723.8,,
,,Repo,-1658,,-1658,875669.7,
2021,,182,13102.55,,29927.95,,
January,96000,91,8706.7,,24807.75,,
,,365,45198,,82526.15,,
,,Repo,890,,890,805415.1,
February,96000,182,19591.9,,19550.5,,
,,91,6695.5,,19184.9,,
,,365,57920.1,,82933.25,,
,,Repo,-555,,0,767398.95,
March,120000,182,30514.45,,18724.55,,
,,91,24317.7,,22064.55,,
,,365,74523.65,,74668,,
,,Repo,2890,,2890,781297.65,
April,96000,182,9118.45,,20339,,
,,91,13141.95,,8706.7,,
,,365,40485.35,,48434.2,,
,,Repo,0,,0,766563.5,
May,120000,182,21524.35,,29219.9,,
,,91,12143.4,,11590.9,,
,,365,78379.35,,60731.15,,
,,Repo,-1110,,-1110,777068.65,
June,96000,182,31666.9,,16505.3,,
,,91,14895.05,,19422.3,,
,,365,32476.85,,35405.1,,
,,Repo,-1665,,-1665,784774.75,
July,96000,182,41472.5,,13102.55,,
,,91,30500.55,,13141.95,,
,,365,19691.95,,79243.3,,
,,Repo,7035,,7035,770951.95,
August,120000,182,42284.15,,27208.7,,
,,91,31665.95,,12143.4,,
,,365,12557.85,,39522.25,,
,,Repo,10480,,10480,778585.55,
September,96000,182,30079.55,,22897.65,,
,,91,19312.85,,14895.05,,
,,365,17607.2,,24939.2,,
,,Repo,0,,0,782853.25,
October,96000,182,22682.45,,9118.45,,
,,91,15790.75,,30500.55,,
,,365,15765.45,,43418.3,,
,,Repo,0,,0,754054.6,
November,120000,182,29635.15,,21524.35,,
,,91,22744.25,,31665.95,,
,,365,51264.65,,65340,,
,,Repo,12748,,12748,739168.35,
December,96000,182,17623.85,,31666.9,,
,,91,17164.1,,19312.85,,
,,365,23802.4,,18229.4,,
,,Repo,-2213,,-1658,727994.55,
2022,,182,41237.65,,48135.4,,
January,120000,91,13956.55,,18467.5,,
,,365,66299.3,,59745.35,,
,,Repo,335,,335,723139.8,
February,96000,182,29651.05,,35621.25,,
,,91,9598.85,,20067.5,,
,,365,50788.15,,59165.9,,
,,Repo,0,,0,698323.2,
March,96000,182,31372.65,,30079.55,,
,,91,19460.85,,17164.1,,
,,365,32112.75,,58730.5,,
,,Repo,0,,0,675295.3,
April,96000,182,19416.8,,22682.45,,
,,91,17075.2,,12428.4,,
,,365,23253.2,,40485.35,,
,,Repo,0,,0,659444.3,
May,120000,182,32822.15,,29635.15,,
,,91,24075.25,,11127,,
,,365,52845.8,,78379.35,,
,,Repo,0,,0,650046,
June,96000,182,19443.3,,17623.85,,
,,91,18144.65,,19460.85,,
,,365,29526.3,,32476.85,,
,,Repo,0,,555,647043.7,
July,96000,182,30878.7,,35979.2,,
,,91,42313.5,,17075.2,,
,,365,17754.75,,19691.95,,
,,Repo,0,,0,665244.3,
August,120000,182,17522.35,,34909.5,,
,,91,54764.95,,24075.25,,
,,365,12271.55,,12557.85,,
,,Repo,0,,0,678260.55,
September,96000,182,31665.75,,31372.65,,
,,91,37124.55,,18144.65,,
,,365,10642.7,,17607.2,,
,,Repo,0,,0,690569.05,
October,120000,182,30860.8,,28457.45,,
,,91,49964.4,,56666.35,,
,,365,15229.65,,22043.8,,
,,Repo,0,,0,679456.3,
November,96000,182,36742.1,,23781.5,,
,,91,59825.7,,40412.1,,
,,365,39123.5,,44986.3,,
,,Repo,0,,0,705967.7,
December,96000,182,15772.6,,19443.3,,
,,91,46488.15,,37124.55,,
,,365,10196.05,,32057.35,,
,,Repo,-555,,0,689244.3,
2023,,182,39008.5,,32813.4,,
January,100000,91,68818.3,,49964.4,,
,,365,20410.65,,58044.35,,
,,Repo,0,,0,676659.6,
February,96000,182,39590.25,,15587.65,,
,,91,75733.55,,59825.7,,
,,365,27360.55,,50788.15,,
,,Repo,0,,0,693142.45,
March,96000,182,36277.9,,31665.75,,
,,91,45144,,46488.15,,
,,365,19294.45,,32112.75,,
,,Repo,0,,0,683592.15,
April,96000,182,8685.45,,28718.4,,
,,91,83761.05,,52311.95,,
,,365,11857.9,,23253.2,,
,,Repo,0,,0,683613,
May,120000,182,24459.9,,38884.5,,
,,91,100100.45,,92239.9,,
,,365,17290.4,,52845.8,,
,,Repo,0,,0,641493.55,
June,96000,182,6367.8,,15772.6,,
,,91,65385.05,,45144,,
,,365,9657.7,,29526.3,,
,,Repo,-555,,0,631906.2,
July,120000,182,14391.85,,39008.5,,
,,91,96745.65,,90542.95,,
,,365,9176,,20355.45,,
,,Repo,0,,0,602312.8,
August,96000,182,16770.35,,39590.25,,
,,91,102312.3,,93318.55,,
,,365,6064.05,,9670.85,,
,,Repo,0,,0,584879.85,
September,96000,182,4491.15,,36277.9,,
,,91,91925.5,,65385.05,,
,,365,6402.1,,10642.7,,
,,Repo,0,,0,575392.95,
October,120000,182,14436,,9592.1,,
,,91,95017.8,,96745.65,,
,,365,11128.05,,15229.65,,
,,Repo,0,,0,574407.4,
November,96000,182,33329.9,,23553.25,,
,,91,117439.05,,102312.3,,
,,365,12612.9,,39123.5,,
,,Repo,0,,0,572800.2,
December,96000,182,6367.8,,14037.9,,
,,91,91925.5,,80047.5,,
,,365,10196.05,,5687.4,,
,,Repo,0,,0,586702.25,
2024,,,,,,,
January,"120,000",182,14391.85,,26507.15,,
,,91,95017.8,,108874.1,,
,,365,20410.65,,13169.45,,
,,Repo,0,,-555,568526.85,
Februay,96000,182,16770.35,,29844.05,,
,,91,117439.05,,86166.15,,
,,365,27360.55,,28995,,
,,Repo,0,,0,585091.6,
March,96000,182,4491.15,,19914.25,,
,,91,80047.5,,57518.8,,
,,365,19294.45,,34336.6,,
,,Repo,0,,0,577155.05,
