ISSUE OF TREASURY BILLS,,,,,,,
    (KSh million),,,,,,,
Year/Month,Total amount offered (Primary market),Tenure,Amount,Amount,Amount,Amount,
,,(days),allotted\1,rejected,redeemed,outstanding,
December,20000,182,"6,144.30",100.67,"7,809.10",,
,,91,"14,224.20","2,132.76","12,571.70","113,336.75",
2006,,,,,,,
January,25000,182,"19,930.00","1,306.02","17,910.35",,
,,91,"16,947.00","3,303.89","16,829.15","115,474.25",
February,20000,182,"19,292.00","3,836.62","11,453.55",,
,,91,"10,693.75","7,891.95","13,137.20","120,869.25",
March,19500,182,"10,282.80","7,181.57","6,811.65",,
,,91,"10,731.95",932.14,"14,224.20","120,848.15",
April,18500,182,"20,890.25","13,194.53","18,126.90",,
,,91,"13,540.40","2,694.16","14,768.90","122,383.00",
May,25000,182,"14,108.30","5,919.70","9,699.45",,
,,91,"14,290.55","4,089.89","12,872.40","128,210.00",
June,18500,182,"9,340.70","13,023.86","6,311.89",,
,,91,"9,801.50","6,667.15","10,731.95","130,308.36",
July,26000,182,"12,013.30","5,363.35","9,130.00",,
,,91,"15,910.25","6,255.97","17,293.10","131,808.81",
August,22500,182,"11,397.75","1,664.88","11,292.10",,
,,91,"12,344.10","3,342.06","10,537.85","133,720.71",
September,19500,182,"8,426.25",990.37,"10,282.80",,
,,91,"12,021.10","1,760.65","9,801.50","134,083.76",
October,22500,182,"12,052.25","2,510.82","7,611.75",,
,,91,"10,489.95","2,188.06","15,910.25","133,103.96",
November,19500,182,"13,098.54","18,123.58","9,486.80",,
,,91,"8,019.45","13,697.28","12,344.10","132,391.05",
December,20000,182,"13,623.50","5,438.61","9,340.70",,
,,91,"7,575.10","1,086.65","12,021.10","132,227.85",
2007,,,,,,,
January,26000,182,"22,904.45",431.75,"22,813.30",,
,,91,"8,544.10",232.54,"10,489.95","130,373.15",
February,20000,182,"23,229.70","5,034.08","19,397.75",,
,,91,"5,627.45","3,478.12","8,019.45","131,813.10",
March,19000,182,"11,375.00",878.42,"8,426.25",,
,,91,"6,671.85","1,583.78","7,575.10","133,858.60",
April,22000,182,"28,611.00","2,428.21","26,952.25",,
,,91,"9,155.10","1,646.97","8,544.10","136,128.35",
May,16000,182,"12,231.94","5,847.03","16,098.54",,
,,91,"6,782.70","2,383.01","5,627.45","133,417.00",
June,16000,182,"10,421.65","12,749.69","13,623.50",,
,,91,"6,443.20",418.96,"6,671.85","129,986.50",
July,22500,182,"20,557.20",292.21,"22,904.45",,
,,91,"10,992.95",181.87,"9,155.10","129,477.10",
August,19000,182,"21,023.25","10,822.83","23,229.70",,
,,91,"7,203.30",923.97,"6,782.70","127,691.25",
September,22000,182,"10,505.65","2,171.06","11,375.00",,
,,91,"10,181.05","4,589.58","6,443.20","130,559.75",
October,26500,182,"20,231.95",76.7,"28,611.00",,
,,91,"12,912.35",471.85,"10,992.95","124,100.10",
November,18500,182,"12,797.69","3,011.30","12,231.94",,
,,91,"8,655.45","5,486.00","7,203.30","126,118.00",
December,20000,182,"20,630.75",908.41,"17,955.40",,
,,91,"5,929.00","1,506.16","11,446.15","123,276.20",
2008,,,,,,,
January,20000,182,"11,862.55",316.71,"13,023.45",,
,,91,"8,515.95","1,232.19","11,647.25","118,984.00",
February,20000,182,"19,852.95","7,642.20","21,023.25",,
,,91,"9,008.30","2,845.64","8,655.45","118,166.55",
March,25000,182,"11,659.75","6,505.92","11,304.80",,
,,91,"10,274.30","1,221.79","5,929.00","122,866.80",
April,18000,182,"20,625.10",560.17,"19,432.80",,
,,91,"6,838.25",171.12,"8,515.95","122,381.40",
May,18000,182,"10,864.04","1,700.38","12,797.69",,
,,91,"6,460.55","1,611.84","9,008.30","117,900.00",
June,25000,182,"19,609.65","2,316.05","20,630.75",,
,,91,"4,681.55",254.79,"10,274.30","111,286.15",
July,20000,182,"16,329.45","3,986.76","11,862.55",,
,,91,"4,918.50","3,366.76","6,838.25","113,833.30",
August,20500,182,"22,223.75","20,378.04","19,852.95",,
,,91,"7,121.25","3,567.56","6,460.55","116,864.80",
September,26000,182,"16,266.95","1,994.76","11,659.75",,
,,91,"11,021.55","3,088.84","4,681.55","127,812.00",
October,16500,182,"18,863.65",641.46,"20,625.10",,
,,91,"3,133.75",39.23,"4,918.50","124,265.80",
November,17500,182,"13,096.44","2,838.43","10,864.04",,
,,91,"5,932.90","1,291.60","7,121.25","125,309.85",
December,22500,182,"17,206.35","1,995.36","19,609.65",,
,,91,"9,460.45","2,574.49","11,021.55","120,790.45",
2009,,,,,,,
January ,13500,182,"17,139.95","1,504.71","16,329.45",,
