"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"26.07.2022 13:45","Copy & Bind, Nairobi, Kenya","320.00","10.02","0.00","0.00","0.00","Ksh","Cash","26.07.2022 14:11","6.00","Finished"
"26.07.2022 13:24","Elgon Road, Nairobi","370.00","11.32","0.00","0.00","0.00","Ksh","Cash","26.07.2022 13:43","7.00","Finished"
"26.07.2022 12:45","Mpambe Foods California, Muinami Street, Nairobi, Kenya","360.00","11.03","0.00","0.00","0.00","Ksh","Cash","26.07.2022 13:10","7.00","Finished"
"26.07.2022 11:10","Moi Drive N48, Nairobi","360.00","11.22","0.00","0.00","0.00","Ksh","Cash","26.07.2022 11:35","7.00","Finished"
"26.07.2022 10:38","Plaza Road, Nairobi","680.00","21.05","0.00","0.00","0.00","Ksh","Cash","26.07.2022 11:07","16.00","Finished"
"26.07.2022 09:56","Colimor Lane, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","26.07.2022 10:02","0.00","Finished"
"25.07.2022 12:48","1st Street, Nairobi","560.00","17.49","0.00","0.00","0.00","Ksh","Cash","25.07.2022 13:15","13.00","Finished"
"24.07.2022 22:20","Gracious Apartment, School Lane, Nairobi, Kenya","800.00","23.96","0.00","0.00","0.00","Ksh","Cash","24.07.2022 23:03","19.00","Finished"
"24.07.2022 21:59","Westlands Road 3, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","24.07.2022 22:19","0.00","Finished"
"24.07.2022 21:31","Captain Mungai Street, Nairobi","330.00","10.21","0.00","0.00","0.00","Ksh","Cash","24.07.2022 22:04","7.00","Finished"
"24.07.2022 21:13","Olenguruone Road, Nairobi","430.00","13.25","0.00","0.00","0.00","Ksh","Cash","24.07.2022 21:30","9.00","Finished"
"24.07.2022 20:52","Moi Avenue 33, Nairobi","270.00","8.50","0.00","0.00","0.00","Ksh","Cash","24.07.2022 21:09","5.00","Finished"
