"Order time","Pickup address","Ride price","Booking fee","Toll fee","Cancellation fee","Tip","Currency","Payment method","Payment time","Distance","State"
"22.09.2022 21:41","Kibera Drive j35, Nairobi","650.00","19.88","0.00","0.00","0.00","Ksh","Cash","22.09.2022 22:15","16.00","Finished"
"22.09.2022 21:12","Oyster Bay, Kilungu Road, Nairobi, Kenya","230.00","7.12","0.00","0.00","0.00","Ksh","Cash","22.09.2022 21:26","4.00","Finished"
"22.09.2022 20:39","Metropolitan Court, Argwings Kodhek Road 31, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","22.09.2022 20:47","1.00","Finished"
"22.09.2022 20:26","Kenyatta Avenue Ground Flr, NSSF Building Block A, Bishop Rd, Nairobi, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","22.09.2022 20:36","3.00","Finished"
"22.09.2022 19:27","Riruta, Nairobi","210.00","6.37","0.00","0.00","0.00","Ksh","Cash","22.09.2022 19:42","3.00","Finished"
"22.09.2022 18:59","Riara Road, The Junction Mall","220.00","6.87","0.00","0.00","0.00","Ksh","Cash","22.09.2022 19:17","4.00","Finished"
"22.09.2022 18:27","Isaac Gathanju Road, Nairobi","250.00","7.90","0.00","0.00","0.00","Ksh","Cash","22.09.2022 18:57","3.00","Finished"
"22.09.2022 17:41","Karuri Gakure Road 1733, Nairobi","460.00","14.33","0.00","0.00","0.00","Ksh","Cash","22.09.2022 18:20","10.00","Finished"
"22.09.2022 17:17","Kifaru Crescent, Nairobi","210.00","6.39","0.00","0.00","0.00","Ksh","Cash","22.09.2022 17:31","3.00","Finished"
"22.09.2022 16:59","Kadong Road, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","22.09.2022 17:13","3.00","Finished"
"22.09.2022 16:12","Ngong Road Suite 21, The Greenhouse, Nairobi","460.00","14.39","0.00","0.00","0.00","Ksh","Cash","22.09.2022 16:56","10.00","Finished"
"22.09.2022 13:30","Muthangari Drive, Nairobi","470.00","14.71","0.00","0.00","0.00","Ksh","Cash","22.09.2022 13:58","10.00","Finished"
"22.09.2022 11:51","Subway Westlands, Nairobi","520.00","16.11","0.00","0.00","0.00","Ksh","Cash","22.09.2022 12:18","12.00","Finished"
"22.09.2022 10:48","Stima Lane, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","22.09.2022 10:59","1.00","Finished"
"19.09.2022 12:53","1st Hunters' Link Road, Nairobi","380.00","11.84","0.00","0.00","0.00","Ksh","Cash","19.09.2022 13:38","7.00","Finished"
"18.09.2022 22:13","Kiuu, Kenya","540.00","16.88","0.00","0.00","0.00","Ksh","Cash","18.09.2022 22:45","13.00","Finished"
"18.09.2022 21:43","Ruiru, Kenya","490.00","15.13","0.00","0.00","0.00","Ksh","Cash","18.09.2022 22:01","10.00","Finished"
"18.09.2022 20:53","Small Villa, Kamiti Road, Githurai, Kenya","600.00","18.64","0.00","0.00","0.00","Ksh","Cash","18.09.2022 21:28","17.00","Finished"
"18.09.2022 19:26","Kangundo Road, Nairobi","890.00","26.68","0.00","0.00","0.00","Ksh","Cash","18.09.2022 20:16","16.00","Finished"
"18.09.2022 17:03","Ruiru, Kenya","780.00","23.63","0.00","0.00","0.00","Ksh","Cash","18.09.2022 17:37","23.00","Finished"
"18.09.2022 14:09","Nairobi, Kenya","730.00","22.51","0.00","0.00","0.00","Ksh","Cash","18.09.2022 14:47","17.00","Finished"
"18.09.2022 11:24","Nairobi-Nakuru Road, Nairobi","710.00","21.50","0.00","0.00","0.00","Ksh","Cash","18.09.2022 11:59","18.00","Finished"
"18.09.2022 10:16","Muthiga Inn, A104","530.00","16.30","0.00","0.00","0.00","Ksh","Cash","18.09.2022 11:14","11.00","Finished"
"18.09.2022 00:09","Mombasa Road, Nairobi","250.00","7.65","0.00","0.00","0.00","Ksh","Cash","18.09.2022 00:22","4.00","Finished"
"17.09.2022 23:41","The Imaara Lifestyle Shopping Mall, Mombasa Road, Nairobi","190.00","5.82","0.00","0.00","0.00","Ksh","Cash","17.09.2022 23:51","3.00","Finished"
"17.09.2022 23:25","Zanzibar Road, Nairobi","280.00","8.55","0.00","0.00","0.00","Ksh","Cash","17.09.2022 23:41","6.00","Finished"
"17.09.2022 22:51","Nairobi, Kenia","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","17.09.2022 23:04","1.00","Finished"
"17.09.2022 21:37","Othaya Road 14, Nairobi","640.00","19.78","0.00","0.00","0.00","Ksh","Cash","17.09.2022 22:14","15.00","Finished"
"17.09.2022 19:33","Raila Odinga Road, Nairobi","840.00","25.13","0.00","0.00","0.00","Ksh","Cash","17.09.2022 20:36","22.00","Finished"
"17.09.2022 19:14","Donholm Road, Nairobi","350.00","10.94","0.00","0.00","0.00","Ksh","Cash","17.09.2022 19:33","7.00","Finished"
"17.09.2022 16:58","Rubis River Road Service Station, River Road, Nairobi, Kenya","580.00","17.88","0.00","0.00","0.00","Ksh","Cash","17.09.2022 18:12","11.00","Finished"
"17.09.2022 16:15","Wabera Street, Nairobi","280.00","8.68","0.00","0.00","0.00","Ksh",Bolt Payment,"17.09.2022 16:29","5.00","Finished"
"17.09.2022 13:37","Professor Mourice Alala Road, Nairobi","920.00","25.11","100.00","0.00","0.00","Ksh","Cash","17.09.2022 14:43","16.00","Finished"
"17.09.2022 12:54","Post, Ruiru","1020.00","29.95","0.00","0.00","0.00","Ksh","Cash","17.09.2022 13:38","27.00","Finished"
"17.09.2022 12:31","Thika Road","200.00","6.11","0.00","0.00","0.00","Ksh","Cash","17.09.2022 12:47","3.00","Finished"
"17.09.2022 09:17","Kasarani Constituency, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","17.09.2022 09:28","1.00","Finished"
"16.09.2022 20:31","Keri Road, Nairobi","860.00","25.76","0.00","0.00","0.00","Ksh","Cash","16.09.2022 21:19","20.00","Finished"
"16.09.2022 20:10","Keri Road, Nairobi","190.00","5.76","0.00","0.00","0.00","Ksh","Cash","16.09.2022 20:25","2.00","Finished"
